attack	Attack	Атака
guard	Guard	Защита
magic	Magic	Магия
gale	Gale	Гейл
inori	Inori	Инори
ricard	Ricard	Рикард
violette	Violette	Виолетта
skip	Skip	Пропустить
new game	Start	Начать
settings	Settings	Настройки
help	Help	Помощь
tempest_howl	Tempest Howl	Рокот бури	
plain_tile_2x1	(wind 2х1)	(ветер 2х1)
raging_hurricane	Raging Hurricane	Ревущий ураган 
plain_tile_2x2	(wind 2х2)	(ветер 2х2)
deadly_avalanche	Deadly Avalanche	Лавина смерти	
mountains_tile_2x1	(earth 2x1)	(земля 2х1)
earth_agony	Earth Agony	Агония земли
mountains_tile_3x1	(earth 3x1)	(земля 3х1)
angels_touch	Angel's Touch	Касание ангела
forest_tile_1x1	(life 1x1)	(жизнь 1х1)
second_sunrise	Second Sunrise	Второй рассвет
forest_tile_2x2	(life 2x2)	(жизнь 2х2)
sea_dragon_breath	Sea Dragon Breath	Дыхание дракона
water_tile_2x1	(water 2x1)	(вода 2х1)
boiling_oceans	Boiling Oceans	Кипящий океан
water_tile_2x2	(water 2x2)	(вода 2х2)
meteor_strike	Meteor Strike	Метеоритный удар
wastelands_tile_2x1	(fire 2x1)	(огонь 2х1)
scourge_of_kings	Scourge of Kings	Погибель королей
wastelands_tile_3x1	(fire 3x1)	(огонь 3х1)
volcanic_eruption	Volcanic Eruption	Извержение вулкана
wastelands_tile_2x2	(fire 2x2)	(огонь 2х2)
fire_god_wrath	Fire God Wrath	Гнев огненного бога
wastelands_tile_5x	(fire 5x)	(огонь 5х)
blood_offering	Blood Offering	Приношение крови
bone_crusher	Bone Crusher	Дробление костей
soul_rend	Soul Rend	Разрыв душ
abyssal_whisper	Abyssal Whisper	Шепот бездны
treacherous_gaze	Traitor's Gaze	Взор предателя
tower_of_sin	Tower of Sin	Башня греха